1-UP	1-up
금연	no smoking
금연	non-smoking
금요일	Friday
금요일	day of preparation
금융	finance
금자탑	pyramid
금잔화	marigold
금주법	Prohibition
금지	constrain
금지	veto
금하다	prohibit
급격하게	abruptly
급격하게	all of a sudden
급격하게	out of the blue
급격하게	suddenly
급격한	abrupt
급격한	precipitous
급격한	sudden
급료	emolument
급료	remuneration
급료	salary
급료	stipend
급료	wages
급부	benefit
기	banner
기가바이트	gigabyte
기간 시설	infrastructure
기간	term
기계 번역	machine translation
기계	instrument
기계	machine
기계류	machinery
기계번역	machine translation
기계설비	hardware
기계어	machine language
기공	qigong
기공	stoma
기관	engine
기관	organ
기관	trachea
기관	windpipe
기관단총	submachine gun
기관병	firefighter
기관사	engineer
기관지염	bronchitis
기관차	locomotive
기관총	machine gun
기괴망측한	monstrous
기구	balloon
기구	dirigible
기구	instrument
기구	machine
기근	famine
기근	starvation
기근	starvation A condition of severe suffering due to a lack of nutrition
기꺼이	gladly
기꺼이	readily
기꺼이	willingly
기꺼이	with pleasure
기념	commemorative
기념비	monument
기념일	anniversary
기념품	souvenir
기능	function
기능	functionality
기니	Guinea
기니	Republic of Guinea
기니비사우	Guinea-Bissau
기니비사우	Republic of Guinea-Bissau
기니피그	guinea pig
기다	be
기다리기	waiting
기다리다	await
기다리다	wait
기다림	wait
기단	air mass
기도	trachea
기도	windpipe
기독	Christ
기독교 입니다	I'm a Christian
기독교	Christianity
기독교계	Christendom
기독교도	Christian
기독교도	Gentile
기독교도	gentile
기둥	column
기둥	pillar
기둥	stanchion
기둥서방	hustler
기러기	goose
기로 하다	decide
기르다	breed
기를 갖추다	banner
기름	grease
기름	oil
기린	giraffe
기린	kirin
기린	qilin
기린영양	gerenuk
기린자리	Camelopardalis
기만	deceit
기만	deception
기만	trickery
기면증	narcolepsy A chronic sleep disorder characterized by an excessive urge to sleep at inappropriate times
기모노	kimono
기묘 쿼크	strange quark
기묘한	peculiar
기밀	secrecy
기반 시설	infrastructure
기병대	cavalry
기본 상호작용	fundamental interaction
기본적인	rudimentary
기부금	contribution
기부금	donation
기부자	donor
기분 좋은	pleasant
기분이 좋다	sweet
기분좋은	agreeable
기뻐하다	happy
기쁘다	happy
기쁘다	over the moon
기쁨	delight
기쁨	joy
기사	article
기사	driver
기사	engineer
기사	news
기상학	meteorology
기선	steamship
기수	cardinal number
기수	cardinal numeral
기숙사	dormitory
기숙학교	boarding school
기술	description
기술	technique
기술	technology
기술	trade
기술자	engineer
기술자	technician
기시감	déjà vu
기아	famine
기악	instrumental
기악	instrumental music
기압계	barometer
기어 올라가다	climb
기억	memory
기억하다	memorize
기억하다	recall
기억하다	recollect
기억하다	remember
기업	business
기업	company
기업	corporation
기업	enterprise
기업	the company
기업가	entrepreneur
기업인	entrepreneur
기운 있는	healthy
기울	bran
기인	wonder
기자	journalist
기자	reporter
기자의 피라미드	Great Pyramid of Giza
기재	description
기저귀	diaper
기저대역	baseband
기적	miracle
기적	wonder
기준	touchstone
기준계	frame of reference
기중기	crane
기중기	purchase
기증자	donor
기차	train
기차역	railway station
기초의	basic
기침	cough
기침하다	cough
기타	and so forth
기타	and so on
기타	c
기타	et caetera
기타	et cetera
기타	et cætera
기타	etc
기타	etcetera
기타	guitar
기특한	admirable
기풍	spirit
기하학	geometry
기형종	teratoma A tumor resulting from an abnormal development of pluripotent cells
기호학	semiology
기호학	semiotics
기화기	carburetor
기화하다	gasify
기회	chance
기회	fortune
기회	occasion
기회	opportunity
기회	possibility
기회주의자	opportunist
기후 변화	climate change
기후	Gifu
기후	climate
기후학	climatology
기후학자	climatologist
긴급한	acute
긴급한	urgent
긴코너구리	coati
길	path
길	road
길라드	Gillard
길을 잃다	get lost
길이	length
길조의	auspicious
길초근	valerian
김	Smith
김	nori
김	sea vegetable
김	steam
김	weed
김멜	gimel
김밥	kimbap
김치	kimchi
김칫국부터 마시지 마라	count one's chickens before they hatch
김칫국부터 마시지 마라	don't count your chickens before they hatch
김칫국부터 마시지 마라	don't count your chickens before they're hatched
깁스	cast
깃	feather
깃	plumage
깃	plume A branching, hair-like structure that grows on the skin of birds and protects them against coldness and water and allows their wings to create lift
깃대	flagpole
깃털	feather
깃털	plumage
깃털공	bird
깃털공	birdie
깃털공	shuttle
깃털공	shuttlecock
깊어지다	deepen
깊은	deep
깊이	deeply
까꿍	peekaboo
까뀌	adze
까뀌	aǳe
까다로운	grumpy
까다로운	tricky
까마귀	crow
까벨	cable
까치	magpie
까치밥 나무	gooseberry
까트	khat
까페	cafe
까페	cafeteria
까페	caff
까페	café
까페	coffee house
까페	coffee shop
까페	coffee-shop
까페	tea shop
깎다	haggle
깔개	rug
깔때기	funnel
깜짝 놀랄	stunning
깡통	tin
깡통	tin can
깡패	bully
깡패	gangster
깨끗하다	clean
깨끗하다	sweet
깨끗한	clean
깨닫다	apprehend
깨물다	bite
깨물다	chew
깨우다	wake up
깨진	mojibake
깻잎	perilla
꺼내다	get out
껌	chewing gum
껍질	shell
꼬리	tail
꼬마 도깨비	imp
꼬마	boy
꼬마	runt
꼬박	all
꼭대기	top
꼭두각시	puppet
꼴	fodder
꼽추	humpback
꽃	blossom
꽃가루	pollen
꽃구경	hanami
꽃꽂이	ikebana
꽃다발	bouquet
꽃병	vase
꽃양배추	cauliflower
꽃잎	petal
꽃집	florist's
꽃차례	inflorescence
꾀꼬리	oriole
꾀하다	calculate
꾸란	Alcoran
꾸란	Koran
꾸란	Qur'an
꾸란	Quran
꾸란	Qur’an
꾸러미	clew
꾸러미	pack
꾸러미	package
꾸리	clew
꾸리다	pack
꾸미다	apparel
꿀	honey
꿀벌	honey bee
꿇다	kneel
꿈	dream
꿈꾸다	dream
꿋꿋하다	persevere
꿩	pheasant
꿰매다	sew
끄다	power down
끄다	switch off
끄다	turn off
끄트러기	snippet
끈	string
끈기	perseverance
끊다	cut
끌다	arrest
끌다	attract
끌다	draw
끌다	pull
끌어내다	draw
끌어당기다	attract
끌어당기다	draw
끌어당기다	draw in
끌어당기다	pull
끔찍하다	terrible
끔찍한	appalling
끔찍한	terrible
끝	end
끝나다	end
끝내다	conclude
끝내다	end
끝내다	finish
끝이 좋으면 다 좋다	all is well that ends well
끝이 좋으면 다 좋다	all's well that ends well
끝이 좋으면 다 좋다	all’s well that ends well
끼리끼리	birds of a feather flock together
나 감기 걸렸어	I have a cold
나 죽어요	I'm dying
나	however
나가노	Nagano
나가다	exit
나가다	get out
나가다	go out
나가다	go out with
나가사키	Nagasaki
나갈랜드 주	Nagaland
나갈랜드	Nagaland
나고르노카라바흐	Nagorno-Karabakh
나고야	Nagoya
나고야	nagoya
나귀	donkey
나그푸르	Nagpur
나노기술	nanotechnology
나노리	nanori
나누기	over
나누다	divide
나누다	part
나누어지다	part
나뉜	separated
나는 그대가 좋아	I love you
나는 그대를 사랑합니다	I love you
나는 너를 사랑합니다	I love you
나는 당신을 무척 좋아합니다	I love you
나는 당신을 사랑합니다	I love you
나니아	Narnia
나도 안다	I know
나도	me too
나디아	Nadia
나라	Nara
나라	country
나라	nation
나라	sovereign state
나라	state
나란하다	parallel
나란히	side by side
나루토마키	narutomaki
나룻배	ferry
나르다	carry
나름	nature
나리	lily
나리얀마르	Naryan-Mar
나리타	Narita
나마스테	namaste
나머지	remainder
나무 조각	splinter
나무	tree
나무	wood
나무늘보	sloth
나물	vegetable
나뭇가지	branch
나미비아	Namibia
나바호어	Navajo
나베레주니예첼니	Naberezhnye Chelny
나병	HD
나병	Hansen's disease
나병	leprosy
나복	rutabaga
나비	butterfly
나비	kitten
나비	kittie
나비	kitty
나비넥타이	bowtie
나사	screw
나사돌리개	screwdriver
나사돌리개	turnscrew
나사형	corkscrew
나선	Rasŏn
나소	Nassau
나약한	feminine
나오다	exit
나오다	get out
나우루	Nauru
나우루	Republic of Nauru
나이	age
나이가 어떻게 되세요	how old are you
나이들다	old
나이로비	Nairobi
나이를먹다	age
나이오븀	niobium
나이지리아	Nigeria
나이트 클럽	club
나이트 클럽	nightclub
나이트	knight
나이트스탠드	nightstand
나이팅게일	nightingale
나이프	knife
나이피다우	Naypyidaw
나일 강	Nile
나일 강	Nile River
나일론	nylon
나장조	B major
나중에	then
나체	birthday suit
나체	in one's birthday suit
나체	nudity
나체	wearing your birthday suit
나체의	nude
나치	Nazi
나치즘	Nazism
나침반	compass
나침반이 필요해요	I need a compass
나타내다	reveal
나타샤	Natasha
나토	NATO
나트륨	sodium
나팔 수선화	daffodil
나팔관	Fallopian tube
나팔꽃	morning glory
나팔총	blunderbuss
나폴레옹	Napoleon
나폴리 아이스크림	Neapolitan
나폴리	Naples
나폴리어	Neapolitan
나폴리의	Neapolitan
나폴리인	Neapolitan
나홋카	Nakhodka
나히체반	Nakhichevan
낙농공장	dairy
낙엽	litterfall
낙엽량	litterfall
낙엽성	deciduous
낙엽송	larch
낙지	octopus
낙타	camel
낙타는 위원회가 고안한 말이다	a camel is a horse designed by a committee
낙타는 위원회가 고안한 말이다	a camel is a horse designed by committee
낙타는 위원회가 고안한 말이다	camel is a horse designed by a committee
낙태	abortion
낙하산	parachute
낚다	hook
낚시	angling
낚시	fish-hook
낚시	fishhook
낚시	fishing
낚시	hook
낚시꾼	angler
낚시꾼	fisherman
난 돈이 없다	I have no money
난	naan
난각	eggshell
난관	Fallopian tube
난관	oviduct
난기류	turbulence
난닝	Nanning
난독증	dyslexia
난로	fireplace
난로	hearth
난민	refugee
난방	heating
난방기	heater
난센스	nonsense
난소	ovary
난수	random number
난자	ovum
난쟁이	dwarf
난쟁이	pygmy
난징	Nanjing
난창	Nanchang
난처하다	embarrass
난초	orchid
난터	Nantou
난터	Nantou County
난퉁	Nantong
난폭한	rambunctious
날	blade
날	day
날개	wing
날것의	raw
날다람쥐	flying squirrel
날씨	sky
날씨	weather
날씨는 어떻습니까	how's the weather
날씬하다	slim
날씬한	lean
날씬한	reedy
날씬한	skinny
날씬한	slender
날씬한	slim
날씬한	thin
날치크	Nalchik
날카로운	sharp
낡다	old
낡은	ancient
남	south
남극	Antarctica
남극	south pole
남극해	Southern Ocean
남근	penis
남근의	phallic
남녀평등주의자	feminist
남대양	Southern Ocean
남동	south east
남동	south-east
남동	southeast
남동생	little brother
남동생	younger brother
남미	South America
남반구	Southern Hemisphere
남방	shirt
남방동사리	dark sleeper
남부 루리	Southern Luri
남북 전쟁 or 남북전쟁	American Civil War
남북 전쟁 or 남북전쟁	Civil War
남북 전쟁 or 남북전쟁	War between the States
남빛	indigo
남서	south west
남서	south-west
남서	southwest
남성	masculine
남수단	South Sudan
남십자성	Southern Cross
남아메리카	South America
남아시아	South Asia
남아프리카	South Africa
남예멘	South Yemen
남오세티아	South Ossetia
남유럽	Southern Europe
남의 일에 참견하다	none of one's business
남의 일에 참견하다	none of someone's business
남의 일에 참견하다	none of your business
남자 같은	masculine
남자	boy
남자	man
남자	man's
남자다운	masculine
남자아이	boy
남자애	boy
남자의	masculine
남자친구	boyfriend
남자친구가 있어요	do you have a boyfriend
남조선	South Korea
남존여비	male chauvinism
남중국해	South China Sea
남쪽	south
남쪽의	southern
남창	gigolo
남창	hustler
남편	husband
남편	spouse
남학생	alumnus
남학생	schoolboy
남한	South Korea
납	lead
납땜	soldering
납땜인두	soldering iron
납부하다	purchase
납줄개	bitterling
납치	kidnap
납치	kidnapping
납치하다	abduct
낫	sickle
낫과 망치	hammer and sickle
낫토	natto
낭	tree
낭독	recitation
낭독하다	recite
낭송	recitation
낭심보호대	jockstrap
낭인	ronin
낮	day
낮	daytime
낮게 평가하는	underrated
낮과 밤	day and night
낮다	short
낮추다	abase
낱말	word
낱소리	jamo
낱소리	phoneme
낳다	bear
낳다	breed
낳다	bring forth
낳다	deliver
낳다	give birth
낳다	have
낳다	n  birth
내 탓	mea culpa
내 탓	my bad
내 탓	my fault
내 탓	my mistake
내	inside
내가 ...년에 태어났어요	I was born in
내가 ...에서 태어났어	I was born in
내가 돈이 없어요	I have no money
내가 안다	I know
내가 영국인이예요	I am English
내가 영국인이예요	I'm English
내가 유대인이에요	I'm Jewish
내각	cabinet
내강	lumen
내공생	endosymbiosis
내내	all
내란죄	rebellion
내려다보다	dominate
내려받기	download
내려받다	download
내륙	landlocked
내륙국	landlocked country
내리다	get off
내리다	land
내뱉다	blurt
내부	inside
내분비학	endocrinology
내세	afterlife
내세	spiritual world
내시	eunuch
내시경	endoscope
내시경술	endoscopy
내실	chamber
내심	incenter
내연 기관	internal combustion engine
내용	contents
내일	tomorrow
내장	viscera
내전	civil war
내접원	incircle
내표벽	intine
냄새	odour
냄새	scent
냄새	smell
냄새를 맡다	smell
냅킨	napkin
냉동고	freezer
냉면	naengmyeon
냉소적인	scornful
냉장고	fridge
냉장고	refrigerator
냉전	Cold War
냉전	cold war
냉혈의	ectothermic
냉혹하다	harsh
냐옹	kitten
냐옹	kittie
냐옹	kitty
너	address with the polite V-form
너	you
너구리	North American raccoon
너구리	common raccoon
너구리	coon
너구리	magnut
너구리	northern raccoon
너구리	raccoon
너구리	raccoon dog
너구리	tanuki
너그러움	leniency
너도밤나무	beech
너를 사랑해	I'm in love with you
너를 사랑해	I’m in love with you
너무	too
너무	very
너무나	excessively
너의 바램은 나에게 명령이다	your wish is my command
너트	nut
너희	address with the polite V-form
너희	you
넋	spirit
넋을 잃은	bemused
넌출월귤	cranberry
널	panel
널	see-saw
널	seesaw
널뛰기	seesaw
널뛰다	seesaw
넓다	wide
넓은	wide
넓은잎쥐오줌풀	valerian
넓적다리	thigh
넓적다리뼈	femur
넓적다리뼈	thigh bone
넓적다리뼈	thigh-bone
넓적다리뼈	thighbone
넓적다리뼈	thighbone The bone that extends from the pelvis to the knee in the vertebrate tetrapods, including humans
넘어지다	fall
넘어질 뻔하다	stumble
넘치다	flood
넝쿨	vine
넣다	insert
넣다	put in
네	address with the polite V-form
네	ay
네	aye
네	pardon
네	yeah
네	yep
네	yes
네	you
네거리	crossroads
네거리	intersection
네네츠어	Nenets
네니요	yes and no
네덜란드	Netherlands
네덜란드	the Netherlands
네덜란드어	Dutch
네덜란드의	Dutch
네덜란드인	Dutch
네델란드	Holland
네델란드	Kingdom of the Netherlands
네델란드	Netherlands
네델란드	the Netherlands
네델란드어	Dutch
네마틱	nematic
네메시스	Nemesis
네바다	Nevada
네브래스카	Nebraska
네시	four o'clock
네쓰케	netsuke
네오나치	neo-Nazi
네오디뮴	neodymium
네온	neon
네온등	neon lamp
네이비 블루	navy blue
네이팜	napalm
네트볼	netball
네트워크 토폴로지	network topology
네트워크 토폴로지	network's architecture
네트워크 토폴로지	network's topology
네트워크 토폴로지	topology The layout pattern of interconnections of the various elements  of a computer network
네트워크	network
네티즌	netizen
네팔	Nepal
네팔어	Nepali
네피도	Naypyidaw
넥타이	necktie
넥타이	tie
넵	yep
넵투누스	Neptune
넵투늄	neptunium
넵튠	Neptune
넷북	netbook
넷째	fourth
년	bitch
년	year
노	Lú
노	Noh
노	furnace
노	oar
노가이어	Nogai
노가이인	Nogai
노가쿠	Noh
노고지리	skylark
노골적인, 뻔한	glaring
노골적인	broad
노년	old age
노던 준주	Northern Territory
노동 조합	trade union
노동	labour
노동자	worker
노란	yellow
노랑	yellow
노랑담비	Japanese marten
노랑초파리	Drosophila melanogaster
노래	song
노래기	millipede
노래방	karaoke
노래부르다	sing
노래책	songbook
노래하다	sing
노력	effort
노력하다	purchase
노력한	expert
노령	age
노루	European roe deer
노루	Roe Deer
노루	roe
노루	roe deer
노루	western roe deer
노르웨이	Kingdom of Norway
노르웨이	Norway
노르웨이어	Norwegian
노르트라인베스트팔렌 주	North Rhine-Westphalia
노른자	yolk
노릴스크	Norilsk
노멀리 블랙	normally black
노멀리 화이트	normally white
노바스코샤	Nova Scotia
노벨륨	nobelium
노보시비르스크	Novosibirsk
노비사드	Novi Sad
노비알	Novial
노뼈	radius
노스다코타	North Dakota
노스웨스트 준주	Northwest Territories
노스캐롤라이나	North Carolina
노스트라다무스	Nostradamus
노승발검	make a mountain out of a mole hill
노승발검	make a mountain out of a molehill
노심 용해	meltdown
노아의 방주	Noah's Ark
노아의 방주	Noah's ark
노예	slave
노예선	slave ship
노예선	slaver
노인학	gerontology
노임	price
노처녀	spinster
노크	knock
노크노크	knock-knock
노크하다	knock
노킹	knock
노트	notebook
노트북	laptop
노트북	laptop computer
노트북	notebook
노트북	notebook computer
노틸러스	nautilus
노퍽 섬	Norfolk Island
노포	catapult
노하게 하다	offend
노하우	know-how
노화	aging
녹	rust
녹나무	camphor laurel
녹나무	camphor tree
녹나무	camphorwood A large evergreen tree originating from Japan and East Asia whose leaves smell of camphor when crushed
녹내장	glaucoma
녹는점	melting point
녹다	melt
녹말	starch
녹색	green
녹색의	green
녹스	NOx
녹아웃	knockout
녹음기	tape recorder
녹음기	tape-recorder
녹조	algal bloom
녹차	green tea
녹청	verdigris
녹턴	nocturne
논다니	prostitute
논다니	whore
논리 학자	logician
논리	logic
논리곱 표준형	conjunctive normal form
논리학	logic
논리합	disjunction
논문	article
논병아리	grebe
논설	discourse
논의	controversy
논쟁	controversy
논평	comment
놀다	hang out
놀다	hang out with
놀다	play
놀다	to hang out with
놀라게 하는	astonishing
놀라게 하다	astonish
놀라게 하다	surprise
놀라게 하다	take aback
놀라다	dismay
놀라다	wonder
놀라운	astounding
놀라운	marvelous
놀라운	wonderful
놀라움	wonder
놀란	amazed
놀람	dismay
놀리다	make fun of
놀리다	tease
놀이	game
놀이공원	amusement park
놈	dude
농구	basketball
농구	basketball game
농구공	basketball
농노	serf
농담	balderdash
농담	joke
농담	prank
농담하다	joke
농도	cardinality
농림토양학	edaphology
농민	mujik
농민	peasant
농민	peasantry
농부	farmer
농부	peasant
농양	abscess
농업	agric
농업	agriculture
농장	farm
농학	agronomy
높다	lofty
높다	tall
높은	tall
놓치다	miss
뇌	brain
뇌관	detonator
뇌물	bribe
뇌물	bribery
뇌물	payoff
뇌사	brain death
뇌수막염	meningitis
뇌암	brain cancer
뇌염	encephalitis
뇌염	encephalitis Inflammation of the brain due to infection, autoimmune processes, toxins, and other conditions
뇌염	viral infections are a relatively frequent cause of this condition
뇌우	electrical storm
뇌우	lightning storm
뇌우	thundershower
뇌우	thunderstorm
뇌질환	encephalopathy
뇌회	gyrus
뇨키	gnocchi
뇨키	gnocchi Soft dumplings made of flour and semolina or potato or bread crumbs
누	gnu
누가 내 얘기 했어	bless you
누가	nougat
누구	who
누구나	everybody
누구나	everyone
누구세요	who are you
누구의	whose
누군가	some one
누군가	somebody
누군가	someone
누나	big sister
누나	elder sister
누나	older sister
누나	sister
누나부트	Nunavut
누두	funnel
누들	noodle
누루즈	Nowruz
누르다	suppress
누리	world
누메아	Nouméa
누벨칼레도니	New Caledonia
누악쇼트	Nouakchott
누악쇼트	Nouakchott The capital of Mauretania
누에	silkworm
누워서 떡 먹기	a piece of cake
누워서 떡 먹기	piece of cake
누이동생	younger sister
누쿠알로파	Nuku'alofa
누쿠알로파	Nukuʻalofa
누크	Nuuk
누텔라	Nutella
눈 깜짝 할 사이에	in the twinkling of an eye
눈	bud
눈	eye
눈	snow
눈구멍	eye socket
눈깜박임	eyeblink
눈꺼풀	eyelid
눈꺼풀	eyelid A skin flap that can be closed over an eye
눈덩이	snowball
눈뜨다	wake up
눈물	tear
눈물	teardrop
눈보라	blizzard
눈보라	snowstorm
눈부신	spectacular
눈사람	snowman
눈사태	avalanche
눈송이	snowflake
눈신	snowshoe
눈싸움	snowball fight
눈썹	brow
눈썹	eyebrow
눈썹	supercilium
눈에는 눈	an eye for an eye
눈에는 눈	an eye for an eye, a tooth for a tooth
눈에는 눈	eye for an eye
눈에띄다	conspicuous
눈이 먼	blind
눈이 와요	it's snowing
눈표범	snow leopard
눕다	lie down
뉘노르스크	Norwegian Nynorsk
뉘노르스크	Nynorsk
뉘른베르크	Nuremberg
뉘른베르크	Nuremberg A city in the German state of Bavaria, in the administrative region of Middle Franconia
뉴 멕시코	New Mexico
뉴기니 섬	New Guinea
뉴델리	New Delhi
뉴멕시코	New Mexico
뉴브런즈윅	New Brunswick
뉴사우스웨일스	New South Wales
뉴스	news
뉴올리언스	New Orleans
뉴욕 시	New York
뉴욕 시	New York City
뉴욕 시	The City of New York
뉴욕 시티	New York
뉴욕 시티	New York City
뉴욕 시티	The City of New York
뉴욕 주	New York
뉴욕	New York
뉴욕	New York City
뉴욕	The City of New York
뉴욕주	New York
뉴우스	news
뉴잉글랜드	New England
뉴저지	New Jersey
뉴질랜드 달러	New Zealand dollar
뉴질랜드	New Zealand
뉴칼레도니아	New Caledonia
뉴클레오솜	nucleosome
뉴클레오티드	nucleotide
뉴턴	Newton
뉴턴	newton
뉴트리아	coypu
뉴펀들랜드 래브라도	Newfoundland and Labrador
뉴햄프셔	New Hampshire
느낌표	exclamation mark
느릅나무	elm
느린	slow
느림보	snail
느슨한	floppy
느티나무	zelkova
늑골	rib
늑골	rib One of the long curved bones which form the rib cage
늑대	wolf
늑대인간	werewolf
는	what about
는다	be
늘	always
늘	constantly
늘	continually
늘	perpetually
늘다	augment
늘리다	add
늙다	old
능격	ergative
능격	ergative case
능격	ergative case A grammatical case existing in several languages among which there are Basque, Georgian, Sumerian, Greenlandic, and Chechen, where it is used for the subjects of sentences having a subject and a direct object
능동태	active voice
능력 있는	able
능력	ability
능력	power
능숙한	expert
늦다	belatedly
늦다	late
늦다	the late
늦은	late
늦은	the late
늦추다	relax
늪	swamp
니	tooth
니가타	Niigata
니기미 씹할놈	motherfucker
니네	address with the polite V-form
니네	you
니더작센 주	Lower Saxony
니들	address with the polite V-form
니들	you
니르바나	nirvana
니삭스	knee sock
니스	Nice
니아메	Niamey
니오븀	niobium
니오브	niobium
니우에	Niue
니제르	Niger
니즈니노브고로드	Nizhny Novgorod
니체	Nietzsche
니카라과	Nicaragua
니케이	nikkei
니켈	nickel
니코시아	Nicosia
니코틴	nicotine
니콜라스	Nicholas
니콜라옙스크	Nikolayevsk
니콜라옙스크나아무레	Nikolayevsk-on-Amur
니파라	Nepal
닌자	ninja
님	Mister
님	Mr
님	Mrs
닛케이	nikkei
닛케이진	nikkei
닝보	Ningbo
닝샤	Ningxia
다 자란	adult
다	poly
다가가다	approach
다각형	polygon
다게스탄	Dagestan
다뉴브 강	Danube
다다미	tatami
다다익선	the more the merrier
다도	tea ceremony
다들	everyone
다락방	attic
다람쥐	squirrel
다랑어	tuna
다랑어	tunafish
다래	kiwi fruit
다래끼	stye
다례	tea ceremony
다롄	Dalian
다루다	face
다르다	differ
다르에스살람	Dar es Salaam
다른 나라의	foreign
다른	another
다른	different
다름슈타튬	darmstadtium
다리	leg
다리	leg The limb of an animal  that extends from the groin to the ankle
다리를 벌리다	spread
다리미	iron
다리미질	ironing
다리미질하다	iron
다리쇠	tripod
다리어	Dari
다리어	Dari-Persian
다림질	ironing
다림질하다	iron
다마스쿠스	Damascus
다문화주의	multiculturalism
다발	bunch
다발	sheaf
다방	teahouse
다섯	five
다섯시	five o'clock
다섯째	fifth
다수	majority
다스 베이더	Darth Vader
다스	dozen
다시 한번	once again
다시	again
다시	once again
다시마	dulse
다시마	kelp
다신교	polytheism
다신론	polytheism
다양하다	diverse
다운 증후군	Down syndrome
다운 증후군	down's syndrome
다운	download
다운로드	download
다운로드하다	download
다운증후군	Down syndrome
다운증후군	Down’s syndrome
다윈	Darwin
다윗	David
다윗의 별	Star of David
다음	next
다음에	after
다음의	next
다이너마이트	dynamite
다이묘	daimyo
다이빙대	springboard
다이어트	diet
다이얼로그	dialogue
다이얼로그	negotiation
다이오드	diode
다장조	C major
다재다능한	versatile
다중언어	multilingual
다짐하다	resolve
다차	dacha
다칭	Daqing
다카	Dhaka
다카르	Dakar
다카마쓰	Takamatsu
다케토미 섬	Taketomi
다큐멘터리	documentary
다크 서클	circle
다크 서클	dark circles
다크 서클	eye circles
다키아	Dacia
다투다	fight
다퉁	Datong
다항식	polynomial
다행스럽게도	fortunately
다행증	euphoria
닥다	polish
닥다	shine
닥스훈트	dachshund
단	platform
단	sheaf
단	sweet
단계	step
단공류	monotreme
단단하다	do me a solid
단단하다	do someone a solid
단단하다	solid
단락	paragraph
단마르크	Denmark
단말기	data terminal
단말기	terminal
단모음	monophthong
단문	simple sentence
단백질	protein
단백체학	proteomics
단봉낙타	dromedary
단사	injection
단소	danso
단속	crackdown
단수	singular
단수수	sugar cane
단순 단말기	dumb terminal
단순문	simple sentence
단식파업	hunger strike
단안경	monocle
단언	asseveration
단언하다	assert
단언하다	asseverate
단언하다	maintain
단열	thermal break
단원제	unicameralism
단위	unit
단위생식	parthenogenesis
단위체	monomer
단일	unity
단자엽식물	monocotyledon
단정, 주장	assertion
단지	merely
단체	society
단추	button
단축 된	abbreviated
단축	contraction
단축어	contraction
단테	Dante
단파	shortwave
단편	snippet
단편소설	short story
단풍나무	maple
단풍당밀	maple syrup
단풍당밀	pancake syrup
단풍설탕	maple sugar
닫다	close
닫다	shut
닫은	closed
달	Moon
달	month
달	moon
달걀 껍질	eggshell
달걀꼴	oval
달다	sweet
달라스	Dallas
달라이 라마	Dalai Lama
달라지다	alter
달러	dollar
달력	calendar
달리다	run
달링	darling
달마티아	Dalmatia
달빛	moonlight
달빛	moonshine
달성	achievement
달성	attainment
달성하다	achieve
달의 광선	moonbeam
달콤하다	sweet
달콤한 꿈	sweet dreams
달팽이	snail
달필	calligraphy
닭	chicken
닭살	goose bump
닭살	goose pimple
닭싸움	cockfight
닭싸움	cockfighting
닮다	resemble
담	fence
담관염	cholangitis
담낭	gall bladder
담배	cigarette
담배	smoke
담배	tobacco
담배갑	cigarette case
담배를 피우다	smoke
담뱃대	tobacco pipe
담보로 제공하다	hypothecate
담보물	collateral
담비	Japanese marten
담수	fresh water
담화	colloquy
답변	reply
당근	carrot
당기다	stretch
당나귀	ass
당나귀	donkey
당뇨병	diabetes
당랑	mantis
당랑	praying mantis
당면	cellophane noodle
당쇄	oligosaccharide
당쇄	simple sugar
당신 자신	yourself
당신 자신	yourselves
당신	address with the polite V-form
당신	you
당신과 그 군대	you and whose army
당신들	address with the polite V-form
당신들	you
당신은 결혼하셨습니까	are you married
당신은 몇살입니까	how old are you
당신을 사랑해요	I love you
당신의 전화를 사용해도 되겠습니까	can I use your phone
당신의 전화번호는 무엇입니까	what's your phone number
당신의	your
당신이 좋아요	I'm in love with you
당신이 좋아요	I’m in love with you
당연	duh
당하다	be
당화	saccharification
당화하다	saccharify
닻	anchor
닿다	touch
닿소리	consonant
대	cane
대	versus
대걸레	mop
대검집	scabbard
대격	accusative
대경실색	consternation
대구	Daegu
대구광역시	Daegu
대국	big picture
대기	atmosphere
대기실	lounge
대기실	waiting room
대기압	air pressure
대기압	atmospheric pressure
대기압	barometric pressure
대기하다	wait
대뇌 피질	cerebral cortex
대다수	majority
대단하다	great
대단한	kick ass
대단한	kick some ass
대담한	audacious
대답	reply
대답	response
대답하다	reply
대대	battalion
대동맥	aorta
대략	approximately
대량학살	genocide
대령	colonel
대류권 계면	tropopause
대륙	landmass
대륙	mainland
대륙법	civil law
대륙붕	continental shelf
대륙이동	continental drift
대리 전쟁	proxy war
대리모	surrogate mother
대리석	marble
대리인	agent
대리점	agency
대립 교황	antipope
대마	cannabis
대마	hemp
대마	marijuana
대마	marĳuana
대만	Republic of China
대만	Taiwan
대만사람	Taiwanese
대만어	Taiwanese
대머리독수리	American eagle
대머리독수리	bald eagle
대머리독수리	bald erne
대머리의	bald
대명	daimyo
대명사	pronoun
대문자	capital letter
대문자	upper case
대방출	bukkake
대배심	grand jury
대부	loan
대부분	by and large
대북	Taipei
대브리튼 연합 왕국	UK
대브리튼 연합 왕국	United Kingdom
대브리튼 연합 왕국	United Kingdom of Great Britain and Northern Ireland
대빗	davit
대사 증후군	metabolic syndrome
대사 증후군	syndrome X
대사	ambassador
대사	capital letter
